,BatteryPower,InternalMemory,ClockSpeed,NoOfCores,RAM,TalkTime,DualSim,3G,4G,WiFi,Bluetooth,MobileDepth,MobileWeight,TouchScreen,ScreenHeight,ScreenWidth,FrontCameraPx,RearCameraPX,PriceRange,Total Resolution
0,842,7,2.2,2,2549,19,0,0,0,1,0,0.6,188,0,9,7,1,2,1,15120
1,1021,53,0.5,3,2631,7,1,1,1,0,1,0.7,136,1,17,3,0,6,2,1799140
2,563,41,0.5,5,2603,9,1,1,1,0,1,0.9,145,1,11,2,2,6,2,2167308
3,615,10,2.5,6,2769,11,0,1,0,0,1,0.8,131,0,16,8,0,9,2,2171776
4,1821,44,1.2,2,1411,15,0,1,1,0,1,0.6,141,1,8,2,13,14,1,1464096
5,1859,22,0.5,1,1067,10,1,1,0,0,0,0.7,164,0,17,1,3,7,1,1660616
6,1821,10,1.7,8,3220,18,0,1,1,1,0,0.8,139,0,13,8,4,10,3,387858
7,1954,24,0.5,4,700,5,1,1,0,1,0,0.8,187,1,16,3,0,0,0,588288
8,1445,53,0.5,7,1099,20,0,1,0,0,1,0.7,174,0,17,1,0,14,0,322696
9,509,9,0.6,5,513,12,1,1,1,0,1,0.1,93,0,19,10,2,15,0,1391688
10,769,9,2.9,5,3946,7,1,0,0,0,1,0.1,182,0,5,2,0,1,3,216752
11,1520,33,2.2,8,3826,13,0,1,1,1,1,0.5,177,1,14,9,5,18,3,151755
12,1815,33,2.8,4,1482,2,0,1,0,0,0,0.6,159,0,18,0,2,17,1,454036
13,803,17,2.1,4,2680,4,0,1,0,1,1,1.0,198,0,7,1,7,11,2,495360
14,1866,52,0.5,1,373,3,0,1,1,1,0,0.7,185,0,14,9,13,17,0,200428
15,775,46,1.0,2,568,11,0,1,0,1,0,0.7,159,1,17,15,3,16,0,1606768
16,838,13,0.5,8,3554,19,0,1,1,1,0,0.1,196,0,10,9,1,4,3,1820400
17,595,23,0.9,3,3752,18,1,1,1,0,0,0.1,121,1,10,2,7,17,3,357210
18,1131,49,0.5,5,1835,16,1,1,0,0,1,0.6,101,1,19,13,11,18,1,577724
19,682,19,0.5,4,2337,18,0,0,0,1,1,1.0,121,1,11,1,4,11,1,959728
20,772,39,1.1,7,2819,3,1,1,0,0,0,0.8,81,1,17,15,12,14,3,2436156
21,1709,13,2.1,2,3283,15,0,1,0,0,1,1.0,156,0,17,1,1,2,3,1348990
22,1949,47,2.6,4,1433,20,1,0,0,1,0,0.3,199,0,11,5,4,7,1,334554
23,1602,38,2.8,3,1037,20,1,1,1,0,1,0.7,114,0,8,7,4,20,0,367208
24,503,8,1.2,3,2583,12,1,1,1,0,0,0.4,111,0,11,0,5,13,1,250245
25,961,57,1.4,8,2782,7,1,1,1,1,1,0.6,114,1,18,9,0,3,2,417294
26,519,51,1.6,4,3763,4,1,1,1,1,1,0.3,132,0,16,1,7,19,3,354750
27,956,41,0.5,7,3286,12,0,1,1,0,0,1.0,143,1,17,8,1,6,3,549325
28,1453,52,1.6,2,2373,10,1,1,1,1,0,0.3,96,1,10,1,12,18,2,245157
29,851,21,0.5,5,478,10,0,1,0,1,0,0.4,200,0,12,7,3,7,0,1478973
30,1579,5,0.5,7,3532,12,1,0,0,1,1,0.2,88,0,17,11,0,9,3,2361562
31,1568,33,0.5,8,508,6,0,1,0,1,1,1.0,150,1,5,1,16,20,0,270102
32,1319,41,0.9,1,2227,3,0,1,1,1,1,0.9,107,1,18,5,3,18,1,97920
33,1310,51,2.2,4,3845,12,1,1,1,0,1,0.6,100,1,7,0,0,0,3,341582
34,644,22,2.7,8,1262,15,0,1,0,0,1,0.7,157,0,12,1,0,3,0,273991
35,725,60,1.3,8,1326,15,1,1,0,0,0,0.4,160,0,10,4,16,17,1,1416366
36,589,61,2.3,4,2113,2,1,1,0,1,1,0.6,160,0,13,7,1,10,1,349635
37,1725,6,1.6,2,3429,4,1,1,1,0,1,0.5,119,1,6,5,6,18,3,795963
